,Gender,Age,Under 30,Senior Citizen,Married,Dependents,Number of Dependents,Quarter,Referred a Friend,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Satisfaction Score,Churn Label
16,Male,66,No,Yes,No,No,0,Q3,No,0,8,No Offer,Yes,1.78,No,Yes,Fiber Optic,7,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.5,2,Yes
17,Male,69,No,Yes,No,No,0,Q3,No,0,24,Offer C,Yes,30.87,Yes,Yes,Fiber Optic,15,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,76.1,2,Yes
18,Female,74,No,Yes,No,No,0,Q3,No,0,4,Offer E,Yes,31.61,Yes,Yes,Fiber Optic,2,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,95.45,3,Yes
19,Male,76,No,Yes,Yes,No,0,Q3,Yes,2,32,Offer C,Yes,47.34,Yes,Yes,Fiber Optic,10,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.9,2,Yes
20,Male,77,No,Yes,Yes,No,0,Q3,Yes,1,24,Offer C,Yes,16.1,No,Yes,Cable,12,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,93.15,2,Yes
21,Female,70,No,Yes,No,No,0,Q3,No,0,54,Offer B,Yes,12.08,Yes,Yes,DSL,5,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,82.45,1,Yes
22,Female,74,No,Yes,No,No,0,Q3,No,0,2,Offer E,Yes,13.17,No,Yes,Fiber Optic,10,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,70.35,3,Yes
23,Female,77,No,Yes,No,No,0,Q3,No,0,21,No Offer,No,0.0,No,Yes,Cable,8,Yes,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,41.9,1,Yes
24,Male,71,No,Yes,Yes,No,0,Q3,No,0,27,No Offer,No,0.0,No,Yes,Cable,13,Yes,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,30.75,1,Yes
25,Male,79,No,Yes,Yes,No,0,Q3,Yes,1,11,No Offer,Yes,29.54,No,No,Fiber Optic,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Mailed Check,19.95,1,Yes
26,Female,66,No,Yes,Yes,No,0,Q3,Yes,2,55,Offer B,Yes,42.82,Yes,Yes,Fiber Optic,27,No,Yes,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,85.45,1,Yes
27,Male,77,No,Yes,No,No,0,Q3,No,0,3,Offer E,Yes,9.22,Yes,Yes,Fiber Optic,14,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,81.35,1,Yes
28,Female,80,No,Yes,No,No,0,Q3,No,0,1,Offer E,Yes,35.09,No,Yes,Fiber Optic,17,No,No,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,75.3,2,Yes
29,Female,77,No,Yes,No,No,0,Q3,No,0,5,Offer E,No,0.0,No,Yes,DSL,26,No,Yes,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,28.45,2,Yes
30,Female,77,No,Yes,No,No,0,Q3,No,0,20,No Offer,Yes,48.73,Yes,Yes,Fiber Optic,12,No,Yes,Yes,No,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,94.1,1,Yes
31,Female,72,No,Yes,Yes,No,0,Q3,Yes,4,5,Offer E,Yes,45.76,Yes,Yes,Fiber Optic,22,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.35,1,Yes
32,Female,80,No,Yes,Yes,No,0,Q3,Yes,2,27,No Offer,Yes,7.02,No,Yes,Cable,25,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,75.2,1,Yes
33,Female,74,No,Yes,No,No,0,Q3,No,0,4,No Offer,Yes,48.35,Yes,Yes,Cable,24,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.2,1,Yes
34,Female,68,No,Yes,No,No,0,Q3,No,0,1,No Offer,Yes,45.81,Yes,Yes,Fiber Optic,21,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,85.7,1,Yes
35,Female,78,No,Yes,Yes,No,0,Q3,Yes,3,65,Offer B,Yes,18.39,Yes,Yes,Fiber Optic,28,Yes,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,No,Bank Withdrawal,105.25,1,Yes
36,Male,75,No,Yes,Yes,No,0,Q3,Yes,3,49,Offer B,Yes,22.92,Yes,Yes,Fiber Optic,14,No,Yes,No,No,No,Yes,No,Yes,Month-to-Month,No,Credit Card,90.05,2,Yes
37,Male,77,No,Yes,Yes,No,0,Q3,Yes,1,43,Offer B,Yes,14.52,Yes,Yes,Fiber Optic,5,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,110.75,2,Yes
38,Male,80,No,Yes,Yes,No,0,Q3,No,0,56,Offer B,Yes,48.8,Yes,Yes,Fiber Optic,12,Yes,No,Yes,No,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,104.55,1,Yes
39,Male,75,No,Yes,Yes,No,0,Q3,Yes,7,20,No Offer,Yes,5.31,Yes,Yes,Fiber Optic,10,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.55,1,Yes
40,Female,69,No,Yes,No,No,0,Q3,No,0,2,No Offer,Yes,47.47,Yes,Yes,Fiber Optic,19,No,Yes,No,No,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,89.5,2,Yes
41,Female,74,No,Yes,No,No,0,Q3,No,0,8,No Offer,Yes,27.95,No,No,Fiber Optic,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,19.65,2,Yes
42,Male,76,No,Yes,No,No,0,Q3,No,0,52,No Offer,No,0.0,No,Yes,DSL,18,No,Yes,No,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,49.15,2,Yes
43,Male,69,No,Yes,No,No,0,Q3,No,0,2,No Offer,Yes,43.99,No,Yes,DSL,27,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,49.25,2,Yes
44,Male,72,No,Yes,Yes,No,0,Q3,Yes,1,33,No Offer,Yes,27.78,Yes,Yes,Fiber Optic,8,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,94.5,3,Yes
45,Female,69,No,Yes,No,No,0,Q3,No,0,30,No Offer,Yes,45.88,Yes,Yes,Fiber Optic,19,Yes,Yes,Yes,No,No,No,No,Yes,Month-to-Month,No,Credit Card,91.7,1,Yes
46,Male,73,No,Yes,No,No,0,Q3,No,0,20,No Offer,Yes,44.44,Yes,Yes,Fiber Optic,13,No,No,Yes,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,98.55,3,Yes
47,Female,65,No,Yes,No,No,0,Q3,No,0,46,No Offer,Yes,2.37,Yes,Yes,Fiber Optic,20,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,110.0,1,Yes
48,Male,74,No,Yes,Yes,No,0,Q3,Yes,1,7,No Offer,Yes,21.91,Yes,Yes,Cable,11,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,95.6,3,Yes
49,Female,65,No,Yes,No,No,0,Q3,No,0,4,No Offer,Yes,36.93,No,Yes,Fiber Optic,18,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,78.85,3,Yes
50,Female,66,No,Yes,No,No,0,Q3,No,0,55,No Offer,Yes,37.38,Yes,Yes,Fiber Optic,7,No,No,Yes,No,Yes,Yes,Yes,No,One Year,Yes,Bank Withdrawal,100.0,3,Yes
51,Male,71,No,Yes,Yes,No,0,Q3,Yes,1,20,No Offer,Yes,5.37,No,Yes,Fiber Optic,24,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,73.65,1,Yes
52,Male,65,No,Yes,No,No,0,Q3,No,0,9,No Offer,Yes,48.71,Yes,Yes,Fiber Optic,15,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,100.5,1,Yes
53,Male,69,No,Yes,No,No,0,Q3,No,0,10,No Offer,Yes,5.46,No,Yes,Fiber Optic,24,No,Yes,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,72.85,1,Yes
54,Male,75,No,Yes,Yes,No,0,Q3,No,0,1,No Offer,Yes,36.92,Yes,Yes,Fiber Optic,6,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,73.55,2,Yes
55,Female,75,No,Yes,No,No,0,Q3,No,0,3,No Offer,Yes,41.9,Yes,Yes,Fiber Optic,11,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,79.4,1,Yes
56,Female,68,No,Yes,No,No,0,Q3,No,0,4,No Offer,Yes,6.68,Yes,Yes,Cable,17,No,No,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,84.6,1,Yes
57,Male,71,No,Yes,No,No,0,Q3,No,0,35,No Offer,Yes,20.83,Yes,Yes,Fiber Optic,19,No,No,Yes,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,99.05,1,Yes
58,Male,80,No,Yes,No,No,0,Q3,No,0,2,Offer E,Yes,26.62,No,Yes,DSL,11,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,44.95,2,Yes
59,Male,66,No,Yes,No,No,0,Q3,No,0,8,No Offer,Yes,11.57,No,Yes,Fiber Optic,27,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,No,Credit Card,100.3,1,Yes
60,Male,73,No,Yes,Yes,No,0,Q3,Yes,2,44,No Offer,No,0.0,No,Yes,Cable,28,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,30.35,1,Yes
61,Male,77,No,Yes,Yes,No,0,Q3,Yes,1,62,No Offer,Yes,7.11,Yes,Yes,Fiber Optic,16,No,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,103.75,1,Yes
62,Female,76,No,Yes,Yes,No,0,Q3,Yes,1,33,No Offer,Yes,33.19,Yes,Yes,Cable,15,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,80.6,2,Yes
63,Female,65,No,Yes,No,No,0,Q3,No,0,4,Offer E,Yes,49.5,Yes,Yes,Fiber Optic,23,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.3,2,Yes
64,Male,75,No,Yes,Yes,No,0,Q3,Yes,1,27,No Offer,Yes,10.6,Yes,Yes,Fiber Optic,23,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,75.5,1,Yes
65,Male,75,No,Yes,No,No,0,Q3,No,0,8,Offer E,Yes,40.45,Yes,Yes,Fiber Optic,29,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,100.6,1,Yes
66,Female,68,No,Yes,Yes,No,0,Q3,Yes,1,3,Offer E,Yes,25.77,No,Yes,Fiber Optic,2,Yes,No,No,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Mailed Check,88.3,1,Yes
67,Female,71,No,Yes,No,No,0,Q3,No,0,8,Offer E,Yes,42.93,No,Yes,Fiber Optic,9,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,92.1,1,Yes
68,Male,74,No,Yes,No,No,0,Q3,No,0,14,No Offer,Yes,11.31,No,Yes,Fiber Optic,24,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,No,Credit Card,90.45,3,Yes
69,Male,77,No,Yes,No,No,0,Q3,No,0,12,No Offer,No,0.0,No,Yes,DSL,10,No,No,Yes,Yes,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,43.65,1,Yes
70,Female,73,No,Yes,No,No,0,Q3,No,0,13,No Offer,Yes,40.37,No,Yes,Fiber Optic,21,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.3,1,Yes
71,Female,68,No,Yes,No,No,0,Q3,No,0,11,No Offer,Yes,3.96,No,Yes,Fiber Optic,27,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,No,Bank Withdrawal,89.7,2,Yes
72,Male,74,No,Yes,Yes,No,0,Q3,Yes,1,17,No Offer,Yes,28.18,Yes,Yes,Cable,16,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Credit Card,100.45,3,Yes
73,Male,65,No,Yes,Yes,No,0,Q3,Yes,1,39,No Offer,Yes,33.25,Yes,Yes,Fiber Optic,26,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,105.65,3,Yes
74,Female,73,No,Yes,Yes,No,0,Q3,Yes,5,11,No Offer,Yes,17.25,Yes,Yes,Fiber Optic,27,No,No,Yes,Yes,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,104.05,3,Yes
75,Female,74,No,Yes,Yes,No,0,Q3,Yes,1,3,Offer E,Yes,3.29,No,Yes,Fiber Optic,9,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,80.4,2,Yes
76,Male,80,No,Yes,No,No,0,Q3,No,0,21,No Offer,Yes,34.62,No,Yes,DSL,14,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,60.05,1,Yes
77,Female,76,No,Yes,No,No,0,Q3,No,0,16,No Offer,Yes,38.75,Yes,Yes,Fiber Optic,16,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,96.15,2,Yes
78,Female,73,No,Yes,No,No,0,Q3,No,0,46,No Offer,Yes,6.13,No,Yes,Fiber Optic,30,No,Yes,No,No,Yes,Yes,No,Yes,One Year,No,Credit Card,95.25,2,Yes
79,Female,70,No,Yes,Yes,No,0,Q3,Yes,1,68,Offer A,Yes,24.13,Yes,Yes,Fiber Optic,24,No,Yes,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.6,1,Yes
80,Male,75,No,Yes,Yes,No,0,Q3,Yes,1,7,Offer E,Yes,13.63,No,Yes,Fiber Optic,27,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.5,2,Yes
81,Male,74,No,Yes,Yes,No,0,Q3,Yes,1,15,No Offer,Yes,45.25,Yes,Yes,Cable,22,No,No,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,85.6,1,Yes
82,Male,76,No,Yes,No,No,0,Q3,No,0,16,No Offer,Yes,19.18,Yes,Yes,Fiber Optic,22,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,86.6,3,Yes
83,Female,75,No,Yes,No,No,0,Q3,No,0,1,Offer E,Yes,29.68,No,Yes,Cable,18,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,69.25,2,Yes
84,Female,74,No,Yes,No,No,0,Q3,No,0,1,No Offer,No,0.0,No,Yes,Cable,5,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,25.2,1,Yes
85,Female,73,No,Yes,No,No,0,Q3,No,0,13,No Offer,Yes,19.03,Yes,Yes,Fiber Optic,24,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,95.05,1,Yes
86,Female,69,No,Yes,No,No,0,Q3,No,0,1,No Offer,Yes,20.06,No,Yes,Fiber Optic,24,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,79.2,3,Yes
87,Female,75,No,Yes,Yes,No,0,Q3,Yes,1,34,No Offer,Yes,2.88,Yes,Yes,Fiber Optic,4,No,Yes,Yes,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,94.25,1,Yes
88,Female,65,No,Yes,No,No,0,Q3,No,0,4,No Offer,Yes,12.68,No,Yes,Fiber Optic,10,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,99.8,1,Yes
89,Female,77,No,Yes,No,No,0,Q3,No,0,2,No Offer,Yes,19.27,Yes,Yes,Fiber Optic,18,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,93.85,3,Yes
90,Male,67,No,Yes,No,No,0,Q3,No,0,9,No Offer,Yes,30.8,Yes,Yes,Fiber Optic,18,No,No,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Credit Card,84.4,2,Yes
91,Female,78,No,Yes,No,No,0,Q3,No,0,5,No Offer,Yes,42.33,No,Yes,Fiber Optic,9,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,75.55,1,Yes
92,Male,65,No,Yes,No,No,0,Q3,No,0,22,Offer D,Yes,40.18,Yes,Yes,Fiber Optic,8,No,No,No,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,96.7,1,Yes
93,Male,74,No,Yes,No,No,0,Q3,No,0,19,Offer D,Yes,39.97,Yes,Yes,Fiber Optic,9,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,88.2,1,Yes
94,Male,70,No,Yes,No,No,0,Q3,No,0,15,Offer D,Yes,46.38,Yes,Yes,Fiber Optic,19,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,75.65,3,Yes
95,Male,69,No,Yes,No,No,0,Q3,No,0,1,No Offer,Yes,11.34,Yes,Yes,Fiber Optic,20,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.7,1,Yes
96,Female,76,No,Yes,No,No,0,Q3,No,0,1,No Offer,No,0.0,No,Yes,DSL,26,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Mailed Check,25.8,1,Yes
97,Male,71,No,Yes,No,No,0,Q3,No,0,10,Offer D,Yes,41.37,Yes,Yes,Fiber Optic,14,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,95.35,1,Yes
98,Female,76,No,Yes,No,No,0,Q3,No,0,3,No Offer,Yes,30.14,No,Yes,DSL,6,No,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,45.0,3,Yes
99,Male,77,No,Yes,Yes,No,0,Q3,Yes,1,12,Offer D,Yes,6.97,No,Yes,Fiber Optic,19,No,No,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,80.45,2,Yes
100,Male,74,No,Yes,No,No,0,Q3,No,0,2,No Offer,Yes,6.51,No,Yes,Fiber Optic,11,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.7,2,Yes
101,Male,77,No,Yes,No,No,0,Q3,No,0,1,No Offer,Yes,49.6,Yes,Yes,Fiber Optic,20,No,No,Yes,No,Yes,No,No,No,Month-to-Month,Yes,Bank Withdrawal,88.8,1,Yes
102,Male,76,No,Yes,Yes,No,0,Q3,Yes,1,13,Offer D,Yes,1.47,No,Yes,Fiber Optic,5,No,Yes,No,Yes,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.05,1,Yes
103,Female,77,No,Yes,No,No,0,Q3,No,0,23,Offer D,Yes,31.17,No,Yes,Fiber Optic,23,No,Yes,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,94.75,2,Yes
104,Female,80,No,Yes,Yes,No,0,Q3,Yes,1,17,Offer D,Yes,36.82,Yes,Yes,Fiber Optic,6,Yes,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,85.35,1,Yes
105,Male,68,No,Yes,No,No,0,Q3,No,0,17,No Offer,Yes,40.93,No,Yes,DSL,2,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,45.05,1,Yes
106,Female,79,No,Yes,No,No,0,Q3,No,0,42,No Offer,Yes,9.53,Yes,Yes,Fiber Optic,17,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,84.65,2,Yes
107,Male,65,No,Yes,No,No,0,Q3,No,0,1,No Offer,Yes,42.3,No,Yes,Fiber Optic,16,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,79.1,3,Yes
108,Male,68,No,Yes,No,No,0,Q3,No,0,1,Offer E,Yes,39.78,No,Yes,Cable,12,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,50.15,2,Yes
109,Female,72,No,Yes,No,No,0,Q3,No,0,1,Offer E,Yes,34.51,No,Yes,Fiber Optic,15,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,69.6,1,Yes
110,Female,66,No,Yes,No,No,0,Q3,No,0,41,No Offer,Yes,27.95,Yes,Yes,Fiber Optic,23,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,113.2,1,Yes
111,Male,68,No,Yes,No,No,0,Q3,No,0,13,No Offer,Yes,26.11,No,Yes,Fiber Optic,4,No,No,No,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,90.5,1,Yes
112,Male,69,No,Yes,Yes,No,0,Q3,Yes,1,32,No Offer,Yes,5.99,Yes,Yes,Fiber Optic,23,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,85.0,1,Yes
113,Male,76,No,Yes,Yes,No,0,Q3,Yes,1,32,No Offer,Yes,49.6,Yes,Yes,Fiber Optic,10,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,85.3,1,Yes
114,Male,70,No,Yes,Yes,No,0,Q3,Yes,1,57,No Offer,No,0.0,No,Yes,Cable,3,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,44.85,2,Yes
115,Male,71,No,Yes,No,No,0,Q3,No,0,1,Offer E,Yes,15.28,No,Yes,Cable,14,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,45.1,2,Yes
116,Male,75,No,Yes,No,No,0,Q3,No,0,1,Offer E,No,0.0,No,Yes,DSL,26,No,Yes,Yes,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,43.3,3,Yes
117,Female,67,No,Yes,No,No,0,Q3,No,0,38,No Offer,Yes,26.1,No,Yes,DSL,27,Yes,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,57.15,1,Yes
118,Female,65,No,Yes,Yes,No,0,Q3,Yes,1,35,No Offer,Yes,15.98,Yes,Yes,Cable,22,Yes,Yes,No,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,100.5,1,Yes
119,Female,80,No,Yes,No,No,0,Q3,No,0,1,Offer E,Yes,15.24,No,Yes,DSL,14,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,45.1,1,Yes
120,Male,71,No,Yes,Yes,No,0,Q3,Yes,1,30,No Offer,Yes,4.65,No,Yes,DSL,29,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,50.4,3,Yes
